code,name,site,city,country,floors,areaSqm
W-D23,W-D23,0169,OXAGON,Saudi Arabia,2,0
W-D24,W-D24,0169,OXAGON,Saudi Arabia,2,0
W-D25,W-D25,0169,OXAGON,Saudi Arabia,2,0
W-D26,W-D26,0169,OXAGON,Saudi Arabia,2,0
W-D27,W-D27,0169,OXAGON,Saudi Arabia,2,0
W-D28,W-D28,0169,OXAGON,Saudi Arabia,2,0
W-D29,W-D29,0169,OXAGON,Saudi Arabia,2,0
W-D30,W-D30,0169,OXAGON,Saudi Arabia,2,0
W-D31,W-D31,0169,OXAGON,Saudi Arabia,2,0
W-D32,W-D32,0169,OXAGON,Saudi Arabia,2,0
W-D33,W-D33,0169,OXAGON,Saudi Arabia,2,0
W-D34,W-D34,0169,OXAGON,Saudi Arabia,2,0
W-D35,W-D35,0169,OXAGON,Saudi Arabia,2,0
W-D36,W-D36,0169,OXAGON,Saudi Arabia,2,0
W-D37,W-D37,0169,OXAGON,Saudi Arabia,2,0
W-D38,W-D38,0169,OXAGON,Saudi Arabia,2,0
W-D39,W-D39,0169,OXAGON,Saudi Arabia,2,0
W-D40,W-D40,0169,OXAGON,Saudi Arabia,2,0
W-D41,W-D41,0169,OXAGON,Saudi Arabia,2,0
W-D42,W-D42,0169,OXAGON,Saudi Arabia,2,0
W-D43,W-D43,0169,OXAGON,Saudi Arabia,2,0
W-D44,W-D44,0169,OXAGON,Saudi Arabia,2,0
W-D45,W-D45,0169,OXAGON,Saudi Arabia,2,0
W-D46,W-D46,0169,OXAGON,Saudi Arabia,2,0
W-D47,W-D47,0169,OXAGON,Saudi Arabia,2,0
W-D48,W-D48,0169,OXAGON,Saudi Arabia,2,0
W-D49,W-D49,0169,OXAGON,Saudi Arabia,2,0
W-D50,W-D50,0169,OXAGON,Saudi Arabia,2,0
W-D51,W-D51,0169,OXAGON,Saudi Arabia,2,0
W-D52,W-D52,0169,OXAGON,Saudi Arabia,2,0
W-D53,W-D53,0169,OXAGON,Saudi Arabia,2,0
W-D54,W-D54,0169,OXAGON,Saudi Arabia,2,0
W-D55,W-D55,0169,OXAGON,Saudi Arabia,2,0
W-D56,W-D56,0169,OXAGON,Saudi Arabia,2,0
W-D57,W-D57,0169,OXAGON,Saudi Arabia,2,0
W-D58,W-D58,0169,OXAGON,Saudi Arabia,2,0
W-D59,W-D59,0169,OXAGON,Saudi Arabia,2,0
W-D60,W-D60,0169,OXAGON,Saudi Arabia,2,0
W-D61,W-D61,0169,OXAGON,Saudi Arabia,2,0
W-D62,W-D62,0169,OXAGON,Saudi Arabia,2,0
W-D63,W-D63,0169,OXAGON,Saudi Arabia,2,0
W-D64,W-D64,0169,OXAGON,Saudi Arabia,2,0
W-D65,W-D65,0169,OXAGON,Saudi Arabia,2,0
W-D66,W-D66,0169,OXAGON,Saudi Arabia,2,0
W-D67,W-D67,0169,OXAGON,Saudi Arabia,2,0
W-D68,W-D68,0169,OXAGON,Saudi Arabia,2,0
W-D69,W-D69,0169,OXAGON,Saudi Arabia,2,0
W-D70,W-D70,0169,OXAGON,Saudi Arabia,2,0
W-D71,W-D71,0169,OXAGON,Saudi Arabia,2,0
W-D72,W-D72,0169,OXAGON,Saudi Arabia,2,0
W-D73,W-D73,0169,OXAGON,Saudi Arabia,2,0
W-D74,W-D74,0169,OXAGON,Saudi Arabia,2,0
W-D75,W-D75,0169,OXAGON,Saudi Arabia,2,0
W-D76,W-D76,0169,OXAGON,Saudi Arabia,2,0
E-D03,E-D03,0169,OXAGON,Saudi Arabia,2,0
E-D06,E-D06,0169,OXAGON,Saudi Arabia,2,0
E-D07,E-D07,0169,OXAGON,Saudi Arabia,2,0
E-D17,E-D17,0169,OXAGON,Saudi Arabia,2,0
E-D18,E-D18,0169,OXAGON,Saudi Arabia,2,0
E-D19,E-D19,0169,OXAGON,Saudi Arabia,2,0
E-D20,E-D20,0169,OXAGON,Saudi Arabia,2,0
E-D21,E-D21,0169,OXAGON,Saudi Arabia,2,0
E-D22,E-D22,0169,OXAGON,Saudi Arabia,2,0
E-D23,E-D23,0169,OXAGON,Saudi Arabia,2,0
E-D24,E-D24,0169,OXAGON,Saudi Arabia,2,0
E-D25,E-D25,0169,OXAGON,Saudi Arabia,2,0
E-D26,E-D26,0169,OXAGON,Saudi Arabia,2,0
E-D27,E-D27,0169,OXAGON,Saudi Arabia,2,0
E-D28,E-D28,0169,OXAGON,Saudi Arabia,2,0
E-D29,E-D29,0169,OXAGON,Saudi Arabia,2,0
E-D30,E-D30,0169,OXAGON,Saudi Arabia,2,0
E-D31,E-D31,0169,OXAGON,Saudi Arabia,2,0
E-D32,E-D32,0169,OXAGON,Saudi Arabia,2,0
E-D33,E-D33,0169,OXAGON,Saudi Arabia,2,0
E-D34,E-D34,0169,OXAGON,Saudi Arabia,2,0
E-D35,E-D35,0169,OXAGON,Saudi Arabia,2,0
E-D36,E-D36,0169,OXAGON,Saudi Arabia,2,0
E-D37,E-D37,0169,OXAGON,Saudi Arabia,2,0
E-D38,E-D38,0169,OXAGON,Saudi Arabia,2,0
E-D39,E-D39,0169,OXAGON,Saudi Arabia,2,0
E-D40,E-D40,0169,OXAGON,Saudi Arabia,2,0
E-D41,E-D41,0169,OXAGON,Saudi Arabia,2,0
E-D42,E-D42,0169,OXAGON,Saudi Arabia,2,0
E-D43,E-D43,0169,OXAGON,Saudi Arabia,2,0
E-D44,E-D44,0169,OXAGON,Saudi Arabia,2,0
E-D45,E-D45,0169,OXAGON,Saudi Arabia,2,0
E-D46,E-D46,0169,OXAGON,Saudi Arabia,2,0
E-D47,E-D47,0169,OXAGON,Saudi Arabia,2,0
E-D48,E-D48,0169,OXAGON,Saudi Arabia,2,0
E-D49,E-D49,0169,OXAGON,Saudi Arabia,2,0
E-D50,E-D50,0169,OXAGON,Saudi Arabia,2,0
E-D51,E-D51,0169,OXAGON,Saudi Arabia,2,0
E-D52,E-D52,0169,OXAGON,Saudi Arabia,2,0
E-D53,E-D53,0169,OXAGON,Saudi Arabia,2,0
E-D54,E-D54,0169,OXAGON,Saudi Arabia,2,0
E-D55,E-D55,0169,OXAGON,Saudi Arabia,2,0
E-D56,E-D56,0169,OXAGON,Saudi Arabia,2,0
E-D57,E-D57,0169,OXAGON,Saudi Arabia,2,0
E-D58,E-D58,0169,OXAGON,Saudi Arabia,2,0
E-D59,E-D59,0169,OXAGON,Saudi Arabia,2,0
E-D60,E-D60,0169,OXAGON,Saudi Arabia,2,0
E-D61,E-D61,0169,OXAGON,Saudi Arabia,2,0
E-D62,E-D62,0169,OXAGON,Saudi Arabia,2,0
E-D63,E-D63,0169,OXAGON,Saudi Arabia,2,0
E-D64,E-D64,0169,OXAGON,Saudi Arabia,2,0
E-D65,E-D65,0169,OXAGON,Saudi Arabia,2,0
E-D66,E-D66,0169,OXAGON,Saudi Arabia,2,0
E-A19,E-A19,0169,OXAGON,Saudi Arabia,2,0
